id,CosmeticID,ingredientID
0,0,0
1,1000,1000
2,1000,1001
3,1000,1003
4,1000,1006
5,2000,2000
6,2000,2001
7,2000,2003
8,2000,2006
9,2000,2010
10,2000,2015
11,2000,2021
12,2000,2028
13,3000,3000
14,3000,3001
15,3000,3003
16,3000,3006
17,3000,3010
18,3000,3015
19,3000,3021
20,3000,3028
21,3000,3036
22,4000,4000
23,4000,4001
24,4000,4003
25,4000,4006
26,4000,4010
27,4000,4015
28,5000,5000
29,5000,5001
30,5000,5003
31,5000,5006
32,5000,5010
33,5000,5015
34,5000,5021
35,5000,5028
36,5000,5036
37,5000,5045
38,5000,5055
39,5000,5066
40,5000,5078
41,5000,5091
42,6000,6000
43,6000,6001
44,6000,6003
45,6000,6006
46,6000,6010
47,6000,6015
48,6000,6021
49,6000,6028
50,6000,6036
51,7000,7000
52,7000,7001
53,7000,7003
54,7000,7006
55,7000,7010
56,7000,7015
57,7000,7021
58,7000,7028
59,7000,7036
60,8000,8000
61,8000,8001
62,8000,8003
63,8000,8006
64,8000,8010
65,8000,8015
66,8000,8021
67,8000,8028
68,8000,8036
69,8000,8045
70,8000,8055
71,8000,8066
72,8000,8078
73,8000,8091
74,8000,8105
75,8000,8120
76,8000,8136
77,8000,8153
78,8000,8171
79,8000,8190
80,8000,8210
81,8000,8231
82,8000,8253
83,8000,8276
84,9000,9000
85,9000,9001
86,9000,9003
87,9000,9006
88,9000,9010
89,9000,9015
90,9000,9021
91,9000,9028
92,9000,9036
93,9000,9045
94,9000,9055
95,9000,9066
96,9000,9078
97,9000,9091
98,9000,9105
99,9000,9120
100,10000,10000
101,10000,10001
102,10000,10003
103,10000,10006
104,10000,10010
105,11000,11000
106,11000,11001
107,11000,11003
108,11000,11006
109,11000,11010
110,11000,11015
111,11000,11021
112,12000,12000
113,12000,12001
114,12000,12003
115,12000,12006
116,12000,12010
117,12000,12015
118,12000,12021
119,12000,12028
120,12000,12036
121,12000,12045
122,13000,13000
123,13000,13001
124,13000,13003
125,13000,13006
126,13000,13010
127,13000,13015
128,13000,13021
129,13000,13028
130,13000,13036
131,13000,13045
132,14000,14000
133,14000,14001
134,14000,14003
135,14000,14006
136,14000,14010
137,14000,14015
138,14000,14021
139,14000,14028
140,14000,14036
141,14000,14045
142,14000,14055
143,14000,14066
144,15000,15000
145,15000,15001
146,16000,16000
147,16000,16001
148,16000,16003
149,16000,16006
150,16000,16010
151,16000,16015
152,16000,16021
153,16000,16028
154,16000,16036
155,16000,16045
156,16000,16055
157,16000,16066
158,16000,16078
159,17000,17000
160,17000,17001
161,17000,17003
162,17000,17006
163,17000,17010
164,17000,17015
165,17000,17021
166,17000,17028
167,17000,17036
168,17000,17045
169,17000,17055
170,17000,17066
171,17000,17078
172,17000,17091
173,18000,18000
174,18000,18001
175,18000,18003
176,18000,18006
177,18000,18010
178,18000,18015
179,18000,18021
180,18000,18028
181,18000,18036
182,18000,18045
183,18000,18055
184,18000,18066
185,18000,18078
186,19000,19000
187,19000,19001
188,19000,19003
189,19000,19006
190,19000,19010
191,19000,19015
192,19000,19021
193,19000,19028
194,20000,20000
195,20000,20001
196,20000,20003
197,20000,20006
198,20000,20010
199,20000,20015
200,20000,20021
201,21000,21000
202,21000,21001
203,21000,21003
204,21000,21006
205,21000,21010
206,21000,21015
207,21000,21021
208,21000,21028
209,21000,21036
210,21000,21045
211,21000,21055
212,21000,21066
213,21000,21078
214,21000,21091
215,21000,21105
216,21000,21120
217,22000,22000
218,22000,22001
219,22000,22003
220,22000,22006
221,22000,22010
222,22000,22015
223,22000,22021
224,22000,22028
225,22000,22036
226,22000,22045
227,23000,23000
228,23000,23001
229,23000,23003
230,23000,23006
231,23000,23010
232,23000,23015
233,23000,23021
234,23000,23028
235,23000,23036
236,23000,23045
237,23000,23055
238,24000,24000
239,24000,24001
240,24000,24003
241,24000,24006
242,24000,24010
243,24000,24015
244,24000,24021
245,24000,24028
246,24000,24036
247,24000,24045
248,24000,24055
249,24000,24066
250,24000,24078
251,24000,24091
252,24000,24105
253,25000,25000
254,25000,25001
255,25000,25003
256,25000,25006
257,25000,25010
258,25000,25015
259,25000,25021
260,26000,26000
261,26000,26001
262,26000,26003
263,26000,26006
264,26000,26010
265,26000,26015
266,26000,26021
267,26000,26028
268,26000,26036
269,26000,26045
270,26000,26055
271,26000,26066
272,26000,26078
273,26000,26091
274,26000,26105
275,26000,26120
276,26000,26136
277,27000,27000
278,27000,27001
279,27000,27003
280,27000,27006
281,27000,27010
282,27000,27015
283,27000,27021
284,27000,27028
285,27000,27036
286,27000,27045
287,27000,27055
288,27000,27066
289,27000,27078
290,28000,28000
291,28000,28001
292,28000,28003
293,28000,28006
294,28000,28010
295,28000,28015
296,28000,28021
297,28000,28028
298,28000,28036
299,28000,28045
300,29000,29000
301,29000,29001
302,29000,29003
303,29000,29006
