코드,업체명,제품명,단위,수리일자,약효분류,적응증,축종명칭
100090-A-0235,서울화장품,코코블루 시그니처 펫 트리트먼트 넘버1,L,2020-07-22,KC90001B121,애완동물용보습제,강아지/개
100090-A-0236,서울화장품,코코블루 시그니처 펫 트리트먼트 넘버2,L,2020-07-22,KC90001B121,애완동물용보습제,개/강아지
100090-A-0237,서울화장품,코코블루 시그니처 펫 트리트먼트 넘버3,L,2020-07-22,KC90001B121,애완동물용보습제,개/강아지
100090-A-0238,서울화장품,코코블루 시그니처 펫 트리트먼트 넘버5,L,2020-07-22,KC90001B121,애완동물용보습제,개/강아지
100222-A-0075,그린코스,도그 네이처 보타니카 펫 샴푸,L,2020-07-22,KC20100B121,세척용샴푸,개/고양이
200022-A-1260,한국동물약품공업협동조합,퓨어앤네츄럴펫 프레쉬너 라벤더,L,2020-07-21,KC90001B132,애완동물용보습제,개/강아지/고양이
200022-A-1261,한국동물약품공업협동조합,퓨어앤네츄럴펫 프레쉬너 프레시코튼,L,2020-07-21,KC90001B132,애완동물용보습제,개/강아지/고양이
100349-A-0037,펫헬스케어센터,바이바이스프레이,L,2020-07-20,KC90001B121,애완동물용보습제,개/고양이
100378-A-0109,명 코스메틱,투투 스무딩 플러스 샴푸,L,2020-07-20,KC20100B121,세척용샴푸,강아지/개
100183-A-0101,대주바이오,독스미어 내추럴 컨디셔너 (전견용),L,2020-07-16,KC20300B121,린스,개/강아지
100183-A-0102,대주바이오,포우장 보글보글 탄산샴푸,L,2020-07-16,KC20100B131,세척용샴푸,개/강아지/고양이
100111-A-0048,디에스엠 뉴트리션 코리아,이투심포니 산제,KG,2020-07-15,HZ12901A111,기타영양공급약,소
100119-A-0081,피엘코스메틱,흐음 퍼지 샴푸,L,2020-07-15,KC20100B121,세척용샴푸,개/강아지
100404-A-0001,피코스텍,데일리 101,L,2020-07-15,KC20100B12,세척용샴푸,개/강아지
100111-A-0047,디에스엠 뉴트리션 코리아,옥시케어 산제,KG,2020-07-13,HB83007A121,비타민 C/D3/E,소/젖소
100119-A-0079,피엘코스메틱,흐음 스니프 미스트,L,2020-07-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100119-A-0080,피엘코스메틱,글리터 미모 겸용 샴푸(키티용),L,2020-07-13,KC20100B111,세척용샴푸,고양이
100239-A-0102,동방코스메틱,아인솝 노벅미스트,L,2020-07-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100403-A-0001,한국화장품제조,한수연 팻 샴푸,KG,2020-07-13,KC20100B111,세척용샴푸,개
100403-A-0002,한국화장품제조,한수연 팻 에센스,L,2020-07-13,KC90001B111,애완동물용보습제,개
100403-A-0003,한국화장품제조,한수연 팻 트리트먼트,L,2020-07-13,KC20300B121,린스,개/강아지
100090-A-0234,서울화장품,샤이닝펫 아로마 이어클리너,L,2020-07-07,KC60100B131,귀세척제,개/강아지/고양이
100239-A-0100,동방코스메틱,아인솝 소프트모이스트미스트,L,2020-07-07,KC90001B131,애완동물용보습제,개/강아지/고양이
100239-A-0101,동방코스메틱,아인솝 펫 하이드로졸 귀세정제,L,2020-07-07,KC60100B131,귀세척제,강아지/개/고양이
100405-A-0001,예그리나,알리엔또 마일드 버블 펫 샴푸,L,2020-07-07,KC20100B131,세척용샴푸,개/강아지/고양이
100024-A-0079,다원케미칼,다원 비타아미-골드 산,KG,2020-07-06,HZ12901A131,기타영양공급약,소/돼지/닭
100025-A-0028,한동,슈퍼밀크DC 펠렛,KG,2020-07-06,HZ12901K111,기타영양공급약,소
100114-A-0312,로쎄앙,케세린,L,2020-07-06,KC90001B131,애완동물용보습제,개/고양이/강아지
100114-A-0313,로쎄앙,루이밤,KG,2020-07-06,KC90001B131,애완동물용보습제,개/강아지/고양이
100239-A-0099,동방코스메틱,아인솝 캣퍼펙트케어샴푸,L,2020-07-06,KC20100B111,세척용샴푸,고양이
100349-A-0033,펫헬스케어센터,쏠티발바닥보습에센스,L,2020-07-06,KC90001B121,애완동물용보습제,개/고양이
100349-A-0034,펫헬스케어센터,핑크 블라썸 탄산입욕제,KG,2020-07-06,KC20100A121,세척용샴푸,개/고양이
100349-A-0035,펫헬스케어센터,쿨링민트 탄산입욕제,KG,2020-07-06,KC20100A121,세척용샴푸,개/고양이
100349-A-0036,펫헬스케어센터,비타민레몬필 탄산입욕제,KG,2020-07-06,KC20100A121,세척용샴푸,개/고양이
100095-A-0231,크린피스,브리더 바르는치약(딸기향),KG,2020-07-02,KC12001B121,치약,개/강아지
100095-A-0232,크린피스,브리더 바르는치약(청사과향),KG,2020-07-02,KC12001B121,치약,개/강아지
200022-A-1259,한국동물약품공업협동조합,디메치케어 스파이더 샴푸 캣츠 앤 독,L,2020-07-02,KC20100B122,세척용샴푸,개/고양이
100096-A-0015,씨티씨바이오,비타글루킹 A,KG,2020-07-01,HY92050A111,글루타치온+비타민 E,어류
100183-A-0100,대주바이오,워터앤큐어 턱클리너,KG,2020-07-01,KC60900121,기타세척제,개/강아지
100114-A-0310,로쎄앙,부들부들 퓨어 멀티 미스트,L,2020-06-29,KC80003B131,애완동물악취제거제,개/강아지/고양이
100114-A-0311,로쎄앙,부들부들 밸런싱 리커버리 크림,KG,2020-06-29,KC90001L131,애완동물용보습제,강아지/개/고양이
100125-A-0069,나우코스,닥터힐메딕스 하이퓨어 오트70 에센스,L,2020-06-29,KC90001B131,애완동물용보습제,개/강아지/고양이
100125-A-0070,나우코스,닥터힐메딕스 하이퓨어 오트40 샴푸,L,2020-06-29,KC20100B131,세척용샴푸,개/강아지/고양이
100239-A-0097,동방코스메틱,독키호테 펫 워시프레쉬 스프레이,L,2020-06-29,KC80003B131,애완동물악취제거제,개/강아지/고양이
100239-A-0098,동방코스메틱,독키호테 펫 프레쉬 샴푸 2in1,L,2020-06-29,KC20100B131,세척용샴푸,개/강아지/고양이
100115-A-0097,이엘티사이언스,펫클린 스프레이,L,2020-06-24,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0074,그린코스,두카메디 셀 케어 미스트,L,2020-06-24,KC90001B131,애완동물용보습제,개/강아지/고양이
