코드,업체명,제품명,단위,수리일자,약효분류,적응증,축종명칭
100020-A-0039,이글벳,아피스 이뮨 산,KG,2021-09-28,HZ12901A211,기타영양공급약,꿀벌
100020-A-0040,이글벳,아피스 이뮨비타 산,KG,2021-09-28,HZ12901A211,기타영양공급약,꿀벌
100114-A-0334,로쎄앙,헨로포우 양치펜,KG,2021-09-28,KC12005B131,기타치아세정제,개/강아지/고양이
100125-A-0091,나우코스,아토고 벳 : 크리닉 크림,L,2021-09-28,KC90001L131,애완동물용보습제,개/강아지/고양이
100222-A-0150,그린코스,부드럽개 발라줄개,L,2021-09-28,KC90001Z131,애완동물용보습제,개/강아지/고양이
100391-A-0003,와이제이케이 코스메틱,디펫츠 매직파우더,KG,2021-09-28,KC90001A131,애완동물용보습제,개/강아지/고양이
100391-A-0004,와이제이케이 코스메틱,디펫츠 매직폼 샴푸,KG,2021-09-28,KC20100B131,세척용샴푸,개/강아지/고양이
100239-A-0164,동방코스메틱,포프랩 엠 스팟 크림,KG,2021-09-27,KC90001B131,애완동물용보습제,개/강아지/고양이
100111-A-0064,디에스엠 뉴트리션 코리아,홀스 멀티-프리믹스 산제,KG,2021-09-23,HZ12901A111,기타영양공급약,말
100114-A-0332,로쎄앙,덴탈버블치약,KG,2021-09-23,KC12001B131,치약,개/강아지/고양이
100114-A-0333,로쎄앙,헨로포우 덴탈스프레이,KG,2021-09-23,KC10001B131,구중청량제,개/강아지/고양이
100125-A-0090,나우코스,아토고 벳 : 크리닉 샴푸,L,2021-09-23,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0149,그린코스,케니펠리 인텐시브 하이드레이션 샴푸,L,2021-09-23,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0148,그린코스,메디레시피 세라마이드 퓨어 컨트롤 네이처 펫 샴푸,L,2021-09-14,KC20100B131,세척용샴푸,개/강아지/고양이
100239-A-0163,동방코스메틱,메디멀 효소치약 닭고기 향,KG,2021-09-14,KC12001B131,치약,개/강아지/고양이
100427-A-0001,펫츄리얼,댕댕이의 밤 [프레쉬 러브],KG,2021-09-14,KC60900A131,기타세척제,개/강아지/고양이
100427-A-0002,펫츄리얼,말티의 밤 [스위티 프루티],KG,2021-09-14,KC60900A111,기타세척제,개
100427-A-0003,펫츄리얼,시바의 밤 [라벤더],KG,2021-09-14,KC60900A121,기타세척제,개/강아지
100427-A-0004,펫츄리얼,푸들의 밤 [허니 자몽],KG,2021-09-14,KC60900A121,기타세척제,개/강아지
100427-A-0005,펫츄리얼,비숑의 밤 [체리블라썸],KG,2021-09-14,KC60900A121,기타세척제,개/강아지
100427-A-0006,펫츄리얼,포메의 밤 [피톤치드],KG,2021-09-14,KC60900A121,기타세척제,개/강아지
100090-A-0262,서울화장품,페이스클렌징,KG,2021-09-13,KC60900B131,기타세척제,개/강아지/고양이
100125-A-0089,나우코스,포앤팜 밸런싱 모이스처 크림,KG,2021-09-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100222-A-0147,그린코스,깨끗하개 씻어줄개,L,2021-09-13,KC60900B131,기타세척제,개/강아지/고양이
100387-A-0007,저스트파이브세컨즈,펌블펫솝 프라나 로럴 샴푸,KG,2021-09-13,KC20100B131,세척용샴푸,개/강아지/고양이
100415-A-0005,히람엘투 주식회사,펫아로마미스트,KG,2021-09-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100415-A-0006,히람엘투 주식회사,펫아로마스프레이(라벤더),KG,2021-09-13,KC80003B131,애완동물악취제거제,개/강아지/고양이
100415-A-0007,히람엘투 주식회사,펫아로마스프레이(유칼립투스),KG,2021-09-13,KC80003B131,애완동물악취제거제,개/강아지/고양이
100415-A-0008,히람엘투 주식회사,펫아로마롤온(고고드라이브),KG,2021-09-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100415-A-0009,히람엘투 주식회사,펫아로마롤온(해피해피),KG,2021-09-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100421-A-0001,그라프펫,샤이니독 샴푸,KG,2021-09-13,KC20100B11X,세척용샴푸,개
100421-A-0002,그라프펫,밀키웨이 샴푸,KG,2021-09-13,KC20100B13X,세척용샴푸,개/강아지/고양이
200326-A-0091,지엘씨 코리아,펫에스테 바이오 아이 케어 <포 독스 앤 캣츠>,L,2021-09-10,KC60100B122,귀세척제,개/고양이
100009-A-0063,진우약품,도그-뉴트리(겔),KG,2021-09-09,HZ12901B111,기타영양공급약,개
100119-A-0125,피엘코스메틱,산책 블랑쉬 드 퍼퓸 펫 샴푸,L,2021-09-09,KC20100B131,세척용샴푸,개/강아지/고양이
100119-A-0126,피엘코스메틱,산책 블랑쉬 드 퍼퓸 펫 미스트,L,2021-09-09,KC90001B131,애완동물용보습제,개/강아지/고양이
100415-A-0002,히람엘투 주식회사,펫아로마밤,KG,2021-09-09,KC90001G131,애완동물용보습제,개/강아지/고양이
100415-A-0003,히람엘투 주식회사,펫아로마솔트입욕제,KG,2021-09-09,KC90001A131,애완동물용보습제,개/강아지/고양이
100415-A-0004,히람엘투 주식회사,펫아로마입욕제,KG,2021-09-09,KC90001A131,애완동물용보습제,개/강아지/고양이
200326-A-0088,지엘씨 코리아,펫에스테 바이오 노즈 케어 <포 독스 앤 캣츠>,L,2021-09-07,KC90001B122,애완동물용보습제,개/고양이
200326-A-0089,지엘씨 코리아,펫에스테 바이오 오랄 케어 <포 독스> <치아 관리 젤>,KG,2021-09-07,KC12005B122,기타치아세정제,개/고양이
200326-A-0090,지엘씨 코리아,펫에스테 바이오 이어 케어 <포 독스 앤 캣츠> < 귀 세정제>,L,2021-09-07,KC60100B122,귀세척제,개/고양이
100009-A-0062,진우약품,양봉용 비오라신-포르테(산),KG,2021-09-05,HZ12901A111,기타영양공급약,꿀벌
100114-A-0331,로쎄앙,견슬애담,KG,2021-09-05,KC90001B131,애완동물용보습제,개/강아지/고양이
100405-A-0060,예그리나,페톰스 프로티카 보습크림,KG,2021-09-03,KC90001L131,애완동물용보습제,개/강아지/고양이
100111-A-0061,디에스엠 뉴트리션 코리아,조인믹스 CC 플러스 산제,KG,2021-09-02,HZ12901A111,기타영양공급약,닭
100111-A-0062,디에스엠 뉴트리션 코리아,조인믹스 PS 플러스 산제,KG,2021-09-02,HZ12901A111,기타영양공급약,닭
100111-A-0063,디에스엠 뉴트리션 코리아,하이디 온 탑 산제,KG,2021-09-02,HZ12901A111,기타영양공급약,닭
100126-A-0150,씨앤앤코스메틱,해피펫 강아지 샴푸 단모용,KG,2021-09-01,KC20100B111,세척용샴푸,강아지
100126-A-0151,씨앤앤코스메틱,해피펫 강아지 샴푸 장모용,KG,2021-09-01,KC20100B121,세척용샴푸,개/강아지
100126-A-0152,씨앤앤코스메틱,해피펫 강아지(고양이) 샴푸,KG,2021-09-01,KC20100B131,세척용샴푸,개/강아지/고양이
100358-A-0004,에데니끄,퍼퓸드 펫 샴푸,KG,2021-09-01,KC20100B131,세척용샴푸,개/강아지/고양이
100415-A-0001,히람엘투 주식회사,펫아로마샴푸,KG,2021-09-01,KC20100B131,세척용샴푸,개/강아지/고양이
100125-A-0088,나우코스,쉬즈곤 스노우 워터리스 샴푸,L,2021-08-30,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0146,그린코스,포프랩 이어 클리너,L,2021-08-30,KC60100B131,귀세척제,개/강아지/고양이
100405-A-0058,예그리나,페톰스 프로티카 귀세정제,KG,2021-08-30,KC60100B131,귀세척제,개/강아지/고양이
100405-A-0059,예그리나,뉴 브리더 크린치약,KG,2021-08-30,KC12001B131,치약,개/강아지/고양이
100115-A-0106,이엘티사이언스,가드펫 스프레이,L,2021-08-27,KC80001B131,애완동물용향수,개/강아지/고양이
100009-A-0061,진우약품,아이-센티저(액),L,2021-08-26,KC60300B121,눈주위세척제,개/고양이
100405-A-0055,예그리나,페톰스 프로티카 눈물자국지우개,KG,2021-08-26,KC60300B131,눈주위세척제,개/강아지/고양이
100405-A-0056,예그리나,페톰스 프로티카 미스트,KG,2021-08-26,KC80003B131,애완동물악취제거제,개/강아지/고양이
100405-A-0057,예그리나,페톰스 프로티카 샴푸,KG,2021-08-26,KC20100B131,세척용샴푸,개/강아지/고양이
100425-A-0002,수산씨엠씨,퓨어블 펫 보타닉 테라피 샴푸 시리즈 3,L,2021-08-26,KC20100B131,세척용샴푸,개/강아지/고양이
100425-A-0003,수산씨엠씨,퓨어블 펫 보타닉 테라피 샴푸 시리즈 2,L,2021-08-26,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0145,그린코스,루나버튼 샴푸,L,2021-08-24,KC20100B131,세척용샴푸,개/강아지/고양이
100349-A-0049,펫헬스케어센터,헨로포우 플로럴미스트,L,2021-08-24,KC90001B121,애완동물용보습제,개/고양이
100405-A-0048,예그리나,은나라 겸용 샴푸,KG,2021-08-24,KC20100B131,세척용샴푸,개/강아지/고양이
100405-A-0049,예그리나,은나라 화이트닝 샴푸,KG,2021-08-24,KC20100B131,세척용샴푸,개/강아지/고양이
100405-A-0050,예그리나,은나라 샴푸,KG,2021-08-24,KC20100B131,세척용샴푸,개/강아지/고양이
100405-A-0051,예그리나,은나라 퍼피 샴푸,KG,2021-08-24,KC20100B121,세척용샴푸,개/강아지
100405-A-0052,예그리나,더펫원츠 카밍 샴푸,KG,2021-08-24,KC20100B131,세척용샴푸,개/강아지/고양이
100405-A-0053,예그리나,페디슨 반려동물 액상치약 딸기향,KG,2021-08-24,KC12001B131,치약,개/강아지/고양이
100405-A-0054,예그리나,페디슨 반려동물 액상치약 닭고기향,KG,2021-08-24,KC12001B131,치약,개/강아지/고양이
100405-A-0046,예그리나,은나라 린스,KG,2021-08-20,KC20300B131,린스,개/강아지/고양이
100405-A-0047,예그리나,은나라 크린치약,KG,2021-08-20,KC12001B131,치약,개/강아지/고양이
100222-A-0143,그린코스,두카메디 셀케어 샴푸,L,2021-08-19,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0144,그린코스,비갈로 소프트데이 스윗파우더리플로럴 견묘겸용 컨디셔너,L,2021-08-19,KC90001B131,애완동물용보습제,개/강아지/고양이
100387-A-0006,저스트파이브세컨즈,넘버원스파 아로마 에스스파,KG,2021-08-19,KC90001A131,애완동물용보습제,개/강아지/고양이
100239-A-0162,동방코스메틱,포프랩 덴탈 케어 치약,KG,2021-08-18,KC12001B131,치약,개/강아지/고양이
100026-A-0010,우진비앤지,프로비온 산,KG,2021-08-17,HZ12901A131,기타영양공급약,소/돼지/닭
100114-A-0330,로쎄앙,닥터힐메딕스 마우스워시,KG,2021-08-17,KC12005B131,기타치아세정제,개/강아지/고양이
100236-A-0035,영진,머드 바스,KG,2021-08-17,KC90001B131,애완동물용보습제,개/강아지/고양이
100405-A-0044,예그리나,위그힐 포밍 풋 샴푸,KG,2021-08-17,KC20100B131,세척용샴푸,개/강아지/고양이
100405-A-0045,예그리나,록키스 퍼피 키티 올인원 펫 샴푸,KG,2021-08-17,KC20100B131,세척용샴푸,개/강아지/고양이
100009-A-0060,진우약품,이어-센티저(액),L,2021-08-11,KC60100B121,귀세척제,개/고양이
100122-A-0128,우신화장품,로픈 바오밥 러브펫 샴푸 파우더향,KG,2021-08-11,KC20100Z131,세척용샴푸,개/강아지/고양이
100122-A-0129,우신화장품,포프랩데일리밸런스미스트,KG,2021-08-11,KC90001B131,애완동물용보습제,개/강아지/고양이
100127-A-0321,펫퍼스,펫쉴드 제충국 샴푸,KG,2021-08-11,KC20100B131,세척용샴푸,개/강아지/고양이
100218-A-0048,가인화장품,309 탈취제,KG,2021-08-11,KC80003B131,애완동물악취제거제,개/강아지/고양이
100218-A-0049,가인화장품,트리니티 보보 퓨어 멀티 미스트,L,2021-08-11,KC90001B131,애완동물용보습제,개/강아지/고양이
100218-A-0050,가인화장품,트리니티 보보 버블 폼 펫 샴푸 컨디셔닝,L,2021-08-11,KC20100B131,세척용샴푸,개/강아지/고양이
100405-A-0043,예그리나,엘 아미고 포레스트 수딩 샴푸,KG,2021-08-11,KC20100B131,세척용샴푸,개/강아지/고양이
100119-A-0124,피엘코스메틱,해피 러쉬 클린 미스트,L,2021-08-10,KC90001B131,애완동물용보습제,개/강아지/고양이
100125-A-0086,나우코스,푸푸몬스터 펫 데오 스프레이 언센티드,L,2021-08-10,KC80003B131,애완동물악취제거제,개/강아지/고양이
100125-A-0087,나우코스,푸푸몬스터 펫 데오 스프레이,L,2021-08-10,KC80003B131,애완동물악취제거제,개/강아지/고양이
100405-A-0042,예그리나,베이컨 드라이 샴푸,KG,2021-08-09,KC20100B131,세척용샴푸,개/강아지/고양이
100122-A-0125,우신화장품,포프랩네이처밸런스애견샴푸,L,2021-08-06,KC20100B131,세척용샴푸,개/강아지/고양이
100122-A-0126,우신화장품,로픈 바오밥 러브펫 탈취제 무향,L,2021-08-06,KC80003B131,애완동물악취제거제,개/강아지/고양이
100122-A-0127,우신화장품,로픈 바오밥 러브펫 탈취제 파우더향,KG,2021-08-06,KC80003B131,애완동물악취제거제,개/강아지/고양이
100125-A-0084,나우코스,푸푸몬스터 펫 샴푸,L,2021-08-06,KC20100B131,세척용샴푸,개/강아지/고양이
100125-A-0085,나우코스,푸푸몬스터 펫 샴푸 언센티드,L,2021-08-06,KC20100B131,세척용샴푸,개/강아지/고양이
100425-A-0001,수산씨엠씨,퓨어블 펫 보타닉 테라피 샴푸 시리즈 1,L,2021-08-06,KC20100B131,세척용샴푸,개/강아지/고양이
100122-A-0124,우신화장품,포프랩실키밸런스애견트리트먼트,L,2021-08-04,KC90001B121,애완동물용보습제,개/강아지
100222-A-0136,그린코스,비갈로 소프트데이 코튼블랑 전묘용 샴푸,L,2021-08-04,KC20100B111,세척용샴푸,고양이
100222-A-0137,그린코스,비갈로 소프트데이 프리지아부케 자견용 샴푸,L,2021-08-04,KC20100B121,세척용샴푸,강아지/개
100222-A-0138,그린코스,비갈로 소프트데이 프리지아부케 자묘용 샴푸,L,2021-08-04,KC20100B111,세척용샴푸,고양이
100222-A-0139,그린코스,비갈로 소프트데이 코튼블랑 백모용 샴푸,L,2021-08-04,KC20100B111,세척용샴푸,개
100222-A-0140,그린코스,비갈로 소프트데이 스윗플로랄머스크 전견용 샴푸,L,2021-08-04,KC20100B121,세척용샴푸,개/강아지
100222-A-0141,그린코스,무극 강아지 샴푸,L,2021-08-04,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0142,그린코스,포링클린 포페이스,L,2021-08-04,KC60900B131,기타세척제,개/강아지/고양이
100389-A-0008,지켜줄개 댕댕아,지켜줄개 구강 청결 숨 스프레이,KG,2021-08-04,KC12005B131,기타치아세정제,개/강아지/고양이
100389-A-0009,지켜줄개 댕댕아,지켜줄개 카밍 페이스 아이 파우더,KG,2021-08-04,KC60300A131,눈주위세척제,개/강아지/고양이
100389-A-0010,지켜줄개 댕댕아,지켜줄개 물따윈 필요없어 페이스 풋 워시,KG,2021-08-04,KC60900B231,기타세척제,개/강아지/고양이
100389-A-0011,지켜줄개 댕댕아,지켜줄개 아웃도어 산책 스프레이,KG,2021-08-04,KC80003B111,애완동물악취제거제,개
100408-A-0005,코스맥스,페토덴트 퓨라덴트 바이옴,KG,2021-08-04,KC12005B131,기타치아세정제,개/강아지/고양이
100119-A-0123,피엘코스메틱,콤리프 퀵 워터리스 펫 샴푸,L,2021-08-02,KC20100B111,세척용샴푸,개
100122-A-0123,우신화장품,포프랩 데일리 탈취제,L,2021-08-02,KC80003B131,애완동물악취제거제,개/강아지/고양이
100222-A-0134,그린코스,루나버튼 귀세정제,L,2021-08-02,KC60100B131,귀세척제,개/고양이/강아지
100222-A-0135,그린코스,포링클린 포이어,L,2021-08-02,KC60100B131,귀세척제,개/고양이/강아지
100225-A-0054,독샤워,감탄하다 미스트,L,2021-08-02,KC90001B131,애완동물용보습제,개/강아지/고양이
200022-A-1290,한국동물약품공업협동조합,건조한 피모 독 샴푸(시더),L,2021-08-02,KC20100B132,세척용샴푸,개/강아지/고양이
200022-A-1291,한국동물약품공업협동조합,민감한 피부 샴푸(자견 & 자묘용 - 무향),KG,2021-08-02,KC20100B132,세척용샴푸,개/강아지/고양이
200022-A-1292,한국동물약품공업협동조합,차콜 딥클린 독 샴푸(파촐리),L,2021-08-02,KC20100B112,세척용샴푸,개
200022-A-1293,한국동물약품공업협동조합,노우즈 & 포우 모이스트라이저 (개고양이 겸용),L,2021-08-02,KC90001B122,애완동물용보습제,개/고양이
200022-A-1294,한국동물약품공업협동조합,카밍 라벤더 워터리스 배스(개고양이 겸용),L,2021-08-02,KC60900B122,기타세척제,개/고양이
200022-A-1295,한국동물약품공업협동조합,자몽 독 코트 스프레이,L,2021-08-02,KC80003B122,애완동물악취제거제,개/고양이
200022-A-1296,한국동물약품공업협동조합,라벤더 독 코트 스프레이,L,2021-08-02,KC80003B122,애완동물악취제거제,개/고양이
200051-A-0053,버박코리아,C.E.T 치약-말트맛,KG,2021-08-02,KC12001O122,치약,개/고양이
100115-A-0105,이엘티사이언스,엑스레날 츄정,T,2021-07-29,HZ12901F121,기타영양공급약,개/고양이
100119-A-0122,피엘코스메틱,닥터코넬리 프리미엄 펫 아이크리너,L,2021-07-29,KC60200B131,눈세척제,개/강아지/고양이
100125-A-0082,나우코스,시리우스 그룸 컨디셔너 러블리 베리 향,L,2021-07-29,KC90001B131,애완동물용보습제,개/강아지/고양이
100125-A-0083,나우코스,시리우스 그룸 컨디셔너 베이비 파우더 향,L,2021-07-29,KC90001B111,애완동물용보습제,개
100127-A-0320,펫퍼스,쇼니 일반용 린스,L,2021-07-29,KC20300B131,린스,개/강아지/고양이
100178-A-0004,삼현제약,할타바 스프레이,L,2021-07-29,KC73004B121,애완용핥음방지제,개/고양이
100222-A-0132,그린코스,아지몽드 수딩 펫 미스트,L,2021-07-29,KC90001B131,애완동물용보습제,개/강아지/고양이
100222-A-0133,그린코스,모이스허그 내추럴 샴푸,L,2021-07-29,KC20100B131,세척용샴푸,개/강아지/고양이
100239-A-0160,동방코스메틱,오 고트밀크 포밍 샴푸 포 독,L,2021-07-29,KC20100B111,세척용샴푸,개
100239-A-0161,동방코스메틱,오 고트밀크 포밍 샴푸 포 캣,L,2021-07-29,KC20100B111,세척용샴푸,고양이
100222-A-0131,그린코스,오구펫 퓨리톤 샴푸,L,2021-07-27,KC20100B131,세척용샴푸,개/고양이/강아지
100118-A-0013,애드바이오텍,아이지드링크 슈퍼,KG,2021-07-23,DA22103H121,바실러스서브틸리스,소/염소
100225-A-0053,독샤워,애니멀베다 릴렉싱 퍼퓸,L,2021-07-23,KC80003B131,애완동물악취제거제,개/강아지/고양이
100391-A-0002,와이제이케이 코스메틱,바른 버블바스,KG,2021-07-22,KC20100A131,세척용샴푸,개/강아지/고양이
100009-A-0059,진우약품,아이지-뮨(액),G,2021-07-21,HZ22901B121,기타영양공급약,소/염소
100090-A-0261,서울화장품,바울링 강아지 샴푸,L,2021-07-21,KC20100B121,세척용샴푸,개/강아지
100119-A-0121,피엘코스메틱,닥터코넬리 프리미엄 펫 바디미스트,L,2021-07-21,KC90001B131,애완동물용보습제,개/강아지/고양이
100222-A-0123,그린코스,지비갈로 소프트데이 프리자아부케 견묘겸용 이어클리너,L,2021-07-21,KC60100B131,귀세척제,개/고양이/강아지
100222-A-0124,그린코스,비갈로 소프트데이 프리지아부케 견묘겸용 아이클리너,L,2021-07-21,KC60200B131,눈세척제,개/강아지/고양이
100222-A-0125,그린코스,비갈로 소프트데이 플로럴 견묘겸용 탈취제,L,2021-07-21,KC80003B131,애완동물악취제거제,개/강아지/고양이
100222-A-0126,그린코스,비갈로 소프트데이 피톤치드 견묘겸용 탈취제,L,2021-07-21,KC80003B131,애완동물악취제거제,개/강아지/고양이
100222-A-0127,그린코스,비갈로 소프트데이 플로럴 견묘겸용 퍼퓸미스트,L,2021-07-21,KC90001B131,애완동물용보습제,개/강아지/고양이
100222-A-0128,그린코스,비갈로 소프트데이 아로마틱 견묘겸용 퍼퓸미스트,L,2021-07-21,KC90001B131,애완동물용보습제,개/강아지/고양이
100222-A-0129,그린코스,모이스허그 내추럴 미스트,L,2021-07-21,KC90001B131,애완동물용보습제,개/강아지/고양이
100222-A-0130,그린코스,모이스허그 내추럴 귀세정제,L,2021-07-21,KC60100B131,귀세척제,개/강아지/고양이
100225-A-0051,독샤워,애니멀베다 마사지 퍼퓸,L,2021-07-21,KC80003B131,애완동물악취제거제,개/강아지/고양이
100225-A-0052,독샤워,셀케어 스킨 미스트,L,2021-07-21,KC90001B131,애완동물용보습제,개/강아지/고양이
100239-A-0157,동방코스메틱,플로리스클린 워터리스 버블워시,L,2021-07-21,KC20100B131,세척용샴푸,개/강아지/고양이
100239-A-0158,동방코스메틱,아인솝 안심치약 감태베리,L,2021-07-21,KC12001B131,치약,개/강아지/고양이
100239-A-0159,동방코스메틱,아인솝 안심치약 감태구마,L,2021-07-21,KC12001B131,치약,개/강아지/고양이
100392-A-0049,케이엔델,페스룸 모이스처 미스트 캣츠,L,2021-07-21,KC90001B131,애완동물용보습제,개/강아지/고양이
200022-A-1289,한국동물약품공업협동조합,No 085 도그 샴푸 라임 / 티트리 / 민트,L,2021-07-21,KC20100B122,세척용샴푸,개/강아지
100119-A-0116,피엘코스메틱,프리미엄 프레시클린 샴푸 스파클링 버블스파,L,2021-07-19,KC20100B121,세척용샴푸,개/강아지
100119-A-0117,피엘코스메틱,나트리스 반려동물 미스트,L,2021-07-19,KC90001B131,애완동물용보습제,개/고양이/강아지
100119-A-0118,피엘코스메틱,바이탈 펫 미스트,L,2021-07-19,KC90001B131,애완동물용보습제,개/강아지/고양이
100119-A-0119,피엘코스메틱,프리미엄 모이스쳐 미스트 아쿠아 스프레드,L,2021-07-19,KC90001B131,애완동물용보습제,개/고양이/강아지
100119-A-0120,피엘코스메틱,닥터블랭크 강아지 귀 세정제,L,2021-07-19,KC60100B131,귀세척제,개/강아지/고양이
100183-A-0115,대주바이오,펫터레스트 펫 샴푸,L,2021-07-19,KC20100B131,세척용샴푸,개/고양이/강아지
100225-A-0049,독샤워,애니멀베다 로즈 입욕제,KG,2021-07-19,KC90001A121,애완동물용보습제,개/고양이
100225-A-0050,독샤워,미유캣 샴푸,KG,2021-07-19,KC20100B111,세척용샴푸,고양이
200022-A-1287,한국동물약품공업협동조합,시즈키치 액상 치약(고양이),L,2021-07-19,KC12001B112,치약,고양이
200022-A-1288,한국동물약품공업협동조합,시즈코 치약(강아지),KG,2021-07-19,KC12001B122,치약,강아지/개
100090-A-0260,서울화장품,투인원 프리미엄 샴푸 앤 컨디셔너(수출용),L,2021-07-15,KC20100B131,세척용샴푸,개/강아지/고양이
100119-A-0115,피엘코스메틱,닥터블랭크 강아지 눈물 세정제,L,2021-07-15,KC60200B131,눈세척제,개/강아지/고양이
100222-A-0121,그린코스,모이스허그 내추럴 눈물세정제,L,2021-07-15,KC60200B131,눈세척제,개/고양이/강아지
100222-A-0122,그린코스,아껴주다 반려동물 탈취제,L,2021-07-15,KC80003B131,애완동물악취제거제,개/강아지/고양이
100225-A-0047,독샤워,미유캣 미스트,KG,2021-07-14,KC90001B111,애완동물용보습제,고양이
100225-A-0048,독샤워,오리엔탈 수 샴푸,KG,2021-07-14,KC20100B131,세척용샴푸,개/강아지/고양이
100119-A-0114,피엘코스메틱,프리미엄 인텐시브 딥클린 샴푸 리치 버블,L,2021-07-13,KC20100B131,세척용샴푸,개/강아지/고양이
100183-A-0113,대주바이오,독스미어 스킨앤풋가드 미스트,L,2021-07-13,KC90001B131,애완동물용보습제,개/강아지/고양이
100183-A-0114,대주바이오,독스미어 내추럴 스파,KG,2021-07-13,KC20100A131,세척용샴푸,개/강아지/고양이
100225-A-0046,독샤워,오리엔탈 진 에센스,KG,2021-07-13,KC90001B121,애완동물용보습제,개/고양이
100239-A-0156,동방코스메틱,라무달리 퍼피스틴,L,2021-07-13,KC20100B131,세척용샴푸,개/강아지/고양이
100349-A-0048,펫헬스케어센터,퓨어테일 오리지널 샴푸,L,2021-07-13,KC20100B131,세척용샴푸,개/강아지/고양이
100392-A-0048,케이엔델,펫레버 샴푸,L,2021-07-12,KC20100B131,세척용샴푸,개/강아지/고양이
100397-A-0002,우리생활건강,야미프로폴리스치약,KG,2021-07-12,KC12001B131,치약,개/강아지/고양이
100408-A-0004,코스맥스,브리지테일 블루밍 바디팩 - 모로코 라술 머드,KG,2021-07-12,KC90001L131,애완동물용보습제,개/강아지/고양이
100114-A-0325,로쎄앙,부들부들 케어플러스 구강 청량제,ML,2021-07-09,KC10001B221,구중청량제,강아지/고양이
100114-A-0326,로쎄앙,부들부들 케어플러스 귀 세정제,ML,2021-07-09,KC60100B121,귀세척제,강아지/고양이
100114-A-0327,로쎄앙,부들부들 케어플러스 탈취제 라벤더,ML,2021-07-09,KC80003B121,애완동물악취제거제,고양이/강아지
100114-A-0328,로쎄앙,부들부들 케어플러스 탈취제 베이비파우더,L,2021-07-09,KC80003B121,애완동물악취제거제,강아지/고양이
100114-A-0329,로쎄앙,부들부들 케어플러스 탈취제 쟈스민,L,2021-07-09,KC80003B131,애완동물악취제거제,개/강아지/고양이
100119-A-0113,피엘코스메틱,애니마크 노랑 센텔라 살브,KG,2021-07-09,KC90001L131,애완동물용보습제,개/강아지/고양이
100183-A-0112,대주바이오,독스미어 내추럴 수딩겔,L,2021-07-09,KC90001H131,애완동물용보습제,개/강아지/고양이
100405-A-0041,예그리나,산책 후 스프레이,L,2021-07-08,KC80003B131,애완동물악취제거제,개/강아지/고양이
200068-A-0014,동화축산,베스미네랄-FH,KG,2021-07-08,HZ12901A242,기타영양공급약,소/산양/면양/염소
100006-A-0060,고려비엔피,바이오 케이투 플러스,KG,2021-07-07,HZ12901A131,기타영양공급약,소/돼지/닭
100378-A-0113,명 코스메틱,도그마루 귀세정제,L,2021-07-07,KC60100B131,귀세척제,개/강아지/고양이
100378-A-0114,명 코스메틱,도그마루 안구세정제,L,2021-07-07,KC60300B131,눈주위세척제,개/강아지/고양이
100405-A-0039,예그리나,인생캣닢미스트,L,2021-07-07,KC90001B111,애완동물용보습제,고양이
100405-A-0040,예그리나,버블부들 아이워시 눈물지우개,L,2021-07-07,KC60300B131,눈주위세척제,개/강아지/고양이
100002-A-0037,우성양행,헤파큐 프리미엄 산,KG,2021-07-06,HZ12901A161,기타영양공급약,소/돼지/닭/산란계/어류/가금/메추리/오리
100009-A-0058,진우약품,펫-아이지(산),KG,2021-07-06,HZ22901A131,기타영양공급약,개/강아지/고양이
100114-A-0324,로쎄앙,부들부들 케어플러스 눈물자국 지우개,L,2021-07-06,KC60300B131,눈주위세척제,개/강아지/고양이
100179-A-0037,두리화장품,개이뻐 4시즌 하이드레이팅 샴푸,L,2021-07-06,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0117,그린코스,머디케어 샴푸,L,2021-07-06,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0118,그린코스,머디케어 워터리스,L,2021-07-06,KC20100B131,세척용샴푸,개/강아지/고양이
100222-A-0119,그린코스,머디케어 로션,L,2021-07-06,KC90001B131,애완동물용보습제,개/강아지/고양이
100222-A-0120,그린코스,머디케어 발바닥밤,L,2021-07-06,KC90001L131,애완동물용보습제,개/강아지/고양이
100349-A-0047,펫헬스케어센터,퓨어테일워터리스클렌저,L,2021-07-06,KC20100B131,세척용샴푸,개/고양이/강아지
100378-A-0112,명 코스메틱,도그마루 구강 스프레이,L,2021-07-06,KC10001B131,구중청량제,개/강아지/고양이
200358-A-0011,크루마이즈,스파 마스크 컨디셔너,L,2021-07-05,KC20100B132,세척용샴푸,개/강아지/고양이
200358-A-0012,크루마이즈,액티브 카본 샴푸,L,2021-07-05,KC20100B132,세척용샴푸,개/강아지/고양이
