16,Glycerine,"['306', '606', '715', '1903', '2015', '2178', '2221', '2415', '2821', '4903', '5315', '5400', '5915', '7006', '9006', '9106', '9601', '9821', '9901', '10221', '12110', '16803', '17903', '19128', '19900', '20906', '21401', '21501', '21701', '21806', '22315', '25303', '25803', '26066', '27710', '27810', '28015', '28110', '28210', '28415', '28921', '29136', '29301', '29806', '29901', '30001', '30101', '30400', '31528', '31606', '33306', '36710', '36866', '37010', '37221', '37300', '37601', '37706', '38006', '40636', '41601', '41855', '42710', '42810', '42910', '43010', '43215', '46001', '47436', '48866', '49010', '52303', '53766', '53910', '56010', '56610', '56710', '56810', '56910', '57001', '58710', '58810', '59900', '60006', '60106', '60201', '62001', '64201', '65101', '71920', '75506', '63966', '61300', '6115', '6403', '6503', '24310', '50436', '55315', '55406', '69306', '79121', '79891', '81436', '81536', '81636', '82406', '82506', '82606', '82706', '82806', '82906', '83006', '83903', '84910', '85215', '85406', '85503', '86803', '88106', '90601', '91645', '94901', '96603', '97206', '97310', '98028', '99203', '99410', '99610', '99703', '100003', '100206', '100815', '101601', '102101', '104410', '6306', '6606', '6715', '7903', '8015', '8178', '8221', '8415', '8821', '10903', '11400', '11915', '13006', '15006', '15106', '15601', '15901', '16221', '18110', '22803', '23903', '25128', '25900', '26906', '27401', '27501', '27701', '27806', '28315', '31303', '32066', '33710', '33810', '34015', '34110', '34210', '34415', '34921', '35136', '35301', '35806', '35901', '36001', '36101', '36400', '37528', '37606', '39306', '42710', '42866', '43010', '43221', '43300', '43601', '43706', '44006', '46636', '47601', '47855', '48710', '48810', '48910', '49010', '49215', '52001', '53436', '54866', '55010', '58303', '59766', '59910', '62010', '62610', '62710', '62810', '62910', '63001', '64710', '64810', '65906', '66006', '66106', '66201', '68001', '70201', '71101', '77920']"
17,Polysorbate 20,"['310', '1428', '2303', '3155', '6510', '8521', '8810', '9010', '9110', '17436', '19355', '19700', '19928', '20200', '20803', '23706', '24206', '24406', '24510', '29203', '29403', '29500', '29600', '30203', '30303', '30403', '30500', '30600', '34936', '35721', '37206', '37945', '38203', '38415', '38715', '45010', '47103', '47203', '47303', '47415', '61206', '62906', '15015', '15115', '15210', '16355', '50415', '79315', '96606', '98710', '100006', '100210', '100706', '101603', '102103', '102228', '102828', '102901', '6310', '7428', '8303', '9155', '12510', '14521', '14810', '15010', '15110', '23436', '25355', '25700', '25928', '26200', '26803', '29706', '30206', '30406', '30510', '35203', '35403', '35500', '35600', '36203', '36303', '36403', '36600', '40936', '41721', '43206', '43945', '44415', '44715', '51010', '53103', '53203', '53303', '53415', '67206', '68906']"
18,Acetic acid,"['315', '5410', '9015', '9115', '9210', '9310', '9655', '9710', '22503', '36600', '36700', '36910', '81106', '88110', '96610', '100010', '100215', '6315', '11410', '15015', '15115', '15210', '15310', '28503']"
19,Trolamine NF,"['321', '9121', '96615', '100015', '100221', '6321', '15121']"
20,Hydrocortisone,"['328', '100228', '6328']"
21,Peach Fragrance,"['336', '9128', '100236']"
22,Purified water,"['400', '1800', '22478', '22521', '24471', '25821', '26628', '27310', '36206', '36315', '65015', '76628', '76755', '71136', '77215', '78796', '78865', '78935', '82421', '82515', '82621', '82721', '82821', '82921', '83021', '83115', '92000', '98736', '98828', '98936', '99627', '100900', '101000', '6400', '7800']"
23,Simethicone,"['401', '100710', '102205', '102221', '6401']"
24,Dimethicone Copolyol,"['403', '12145', '12221', '15501', '16936', '21936', '22036', '22136', '22955', '24355', '24520', '24745', '26955', '27055', '27236', '27745', '27845', '28145', '28245', '30703', '30836', '30936', '31155', '31255', '31355', '31455', '34236', '34336', '34545', '34720', '34820', '35720', '36821', '36906', '37066', '39445', '39545', '39936', '40503', '41715', '42745', '42845', '42966', '43045', '43436', '43636', '43836', '43936', '44028', '44136', '44510', '44710', '45736', '48821', '48915', '49045', '53721', '53945', '54021', '56736', '56866', '57315', '58736', '58836', '59136', '61655', '62328', '81845', '81945', '82045', '82145', '82245', '6403', '18145', '18221', '21501', '22936', '27936', '28036', '28136', '28955', '30355', '30520', '30745', '32955', '33055', '33236', '33745', '33845', '34145', '34245', '36703', '36836', '36936', '37155', '37255', '37355', '37455', '40236', '40336', '40545', '40720', '40820', '41720', '42821', '42906', '43066', '45445', '45545', '45936', '46503', '47715', '48745', '48845', '48966', '49045', '49436', '49636', '49836', '49936', '50028', '50136', '50710', '51736', '54821', '54915', '55045', '59721', '59945', '60021', '62736', '62866', '63315', '64736', '64836', '65136', '67655', '68328']"
25,Cyclomethicone,"['406', '891', '13036', '13236', '13536', '13600', '13700', '13936', '14136', '14336', '14636', '14836', '15036', '15445', '17628', '24436', '24791', '44806', '46636', '6406', '6891', '19236', '19536', '19600', '19700', '19936', '20136', '20336', '20636', '20836', '21036', '21445', '23628', '30436', '30791', '50806', '52636']"
26,Emulsifiers,"['410', '52310', '87406', '6410']"
