2328,Sage oil
2336,Eugenia cary ophyllus oil
2345,Penny Royal essential oil
2355,Hypericum perforatum extract
2400,정제수
2401,Coconut alcohol
2403,Sodium lauryl sulfate
2406,Hydrolyzed keratin protein
2410,Wheat protein
2415,Glycerine
2421,Aloe vera
2428,Citric acid
2436,Calendula extract
2445,Allantoin
2455,Chamomile extract
2466,Witch hazel
2478,Methyl paraben
2491,Propyl paraben
2505,DMDM Hydantoin
2500,정제수
2501,Dimethicone
2503,Silk Aminoacids
2506,Limonene
2510,Panthenol
2515,Isopropyl myristate
2521,Sunscreen
2600,정제수
2601,글리세릴스테아레이트SE
2603,Stearic acid
2606,Cetyl esters
2610,Glucose glutamate
2615,Vitamin E-acetate
2621,Triethanolamine
2628,Cocamide DEA
2636,Panthenol
2645,Retinol acetate
2655,Vitamin D2
2666,Fragrance
2678,Methyl paraben
2691,Propyl paraben
2705,Diazolidinyl urea
2720,FD C yellow
2736,FD C red
2700,정제수
2701,Carrot Extract
2703,Isododecane
2706,Isohxadecane
2710,Behentrimonium chloride
2715,Methosulfate
2721,Cetearyl alcohol
2728,Carrot Oleo Resin
2736,Grape seed oil
2745,Methyl hydroxybenzoate
2755,Methyl chloroisothiazolone
2766,Tetrasodium EDTA
2778,Fragrance
2800,Deionized water
2801,Emulsifying wax
2803,Behentrimonium metho-sulfate
2806,Cetearyl alcohol
2810,Trimethysiloxyamodimethicone
2815,Octynoxyl-40
2821,Glycerine
2828,Panthenol
2836,색소
2845,Fragrance
2900,정제수
2901,Cetrimonium bromide
2903,Bacitracin methylene disalicylate
2906,PPG-12-PEG-50 Lanolin
2910,Ceteth-20
2915,Sorbitol
2921,Sodium Laureth Sulfate
2928,Methyl paraben
2936,Propyl paraben
2945,Fragrance
2955,FD C yellow
2966,FD C red
3000,무수포도당
3001,Sodium citrate
3003,Tris buffer
3006,EDTA
3010,Antioxydants
3015,Sodium bicarbonate
3021,Sucrose
3028,Antibiotics
3100,Deionized water
3101,Rose Water
3103,Dicetyldimonium Chloride
3106,Cocodimonium hydrolyzed silk amino acids
3110,Hydrolyzed wheat protein
3115,Lauryl Pyrrolidone
3121,Panthenol
3128,Methylchloroisothiazolinon
3136,Methylisothiazolinone
3145,Fragrance
3155,Polysorbate 20
3166,Propylene glycol
3178,Diazolidinyl urea
3191,Methyl paraben
3205,Propyl paraben
3220,Chamomilla Recutita
