idx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
화장품index,화장품명,성분index,성분명(대표어),성분명(국문),성분명(영문),이명,배합목적,EWG 등급,EWG 데이터,Allergy T/F,toxic T/F/N,Poison T(data)/N,사용한도 초과/이내/해당없음(T/F/N),사용금지(T/F),항지루,진정제,완화제,재생,방부제,수렴제,항균,항진균,항바이러스,모낭 홍조에 도움,기름 제거,각질분해,pH 감소,면포분해,항미생물제,각질형성,가려움증 감소,혈관 작용제,프로스타글란딘(호르몬 물질) 감소,소염제,항알레르기,보습제,마취제,항생제,정균,살포자제,"박리, 박피",피부 장벽 재건설,항산화제,자외선 차단제,미용제,항라디컬제,콜라겐 합성,케라틴 합성,엘라스틴 합성,pH 정상화,탈취제
24000,화이트 온 화이트 샴푸,676,Coconut Alcohol,코코넛알코올,Coconut Alcohol,"Alcohols, coco","유화안정제, 계면활성제-거품형성제, 점증제-수용성, 점증제-비수용성",1,None,T,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,1425,Lauryl sodium sulfate,소듐라우릴설페이트,Sodium Lauryl Sulfate,Sodium dodecyl sulphate,"변성제, 계면활성제-세정제",01-02,Fair,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,1253,Hydrolyzed keratin protein,하이드롤라이즈드케라틴,Hydrolyzed Keratin,"Keratins, hydrolyzates","모발컨디셔닝제, 손톱컨디셔닝제, 피부컨디셔닝제",01-02,Limited,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,2755,Triticum Vulgare (Wheat) Protein,밀단백질,Triticum Vulgare (Wheat) Protein,-,"피막형성제, 모발컨디셔닝제, 피부컨디셔닝제",1,Limited,T,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,1115,Glycerin,글리세린,Glycerin,"Glycerol (INN); Glycerol (RIFM); Glycerolum (EP); Glycyl Alcohol; 1,2,3-Propanetriol; 1,2,3-Trihydroxypropane","변성제, 착향제, 헤어컨디셔닝제, 보습제, 피부보호제, 피부컨디셔닝제(보습제), 점도감소제",01-02,Good,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,115,Aloe Barbadensis Extract,알로에베라추출물,Aloe Barbadensis Extract,-,피부컨디셔닝제(기타),01-03,Limited,F,T,T,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,601,Citric Acid,시트릭애씨드,Citric Acid,"2-Hydroxy-1,2,3-propanetricarboxylic acid","금속이온봉쇄제, 향료, pH 조절제",01-02,Good,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,400,Calendula Officinalis Extract,포트마리골드추출물,Calendula Officinalis Extract,-,피부컨디셔닝제(기타),1,Limited,F,F,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,105,Allantoin,알란토인,Allantoin,-,"피부컨디셔닝제, 피부보호제",1,Fair,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,181,Chamomilla Recutita Flower Extract,마트리카리아꽃추출물,Chamomilla Recutita (Matricaria) Flower Extract,-,"착향제, 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",2,Limited,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
24000,화이트 온 화이트 샴푸,1174,Hamamelis Virginiana Extract,버지니아풍년화추출물,Hamamelis Virginiana (Witch Hazel) Extract,-,-,1,Limited,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
10010000,피즈퍼즈 더마 앰플 미스트,2143,Purified water,정제수,Water,"Aqua (EU),Deionized Water,Distilled Water","피부컨디셔닝제, 용제",1,Robust,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
10010000,피즈퍼즈 더마 앰플 미스트,361,Butylene Glycol,부틸렌글라이콜,Butylene Glycol,"Butane-1,3-diol (CAS No. 107-88-0/ EC No. 203-529-7) (R)-(-)-butane-1,3-diol” (CAS No. 6290-03-5/ EC No. 228-532-0)","향료, 피부컨디셔닝제, 용제, 점도감소제",1,Limited,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
10010000,피즈퍼즈 더마 앰플 미스트,2,"1,2-Hexanediol","1,2-헥산다이올","1,2-Hexanediol",-,용제,1,Limited,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
10010000,피즈퍼즈 더마 앰플 미스트,379,C12-14 Pareth-12,C12-14파레스-12,C12-14 Pareth-12,"Alcohols, C12-14, ethoxylated (12 mol EO average molar ratio)",계면활성제-유화제,1,None,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
10010000,피즈퍼즈 더마 앰플 미스트,105,Allantoin,알란토인,Allantoin,-,"피부컨디셔닝제, 피부보호제",1,Fair,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
10010000,피즈퍼즈 더마 앰플 미스트,1798,Panthenol,판테놀,Panthenol,"Butanamide, 2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethyl-, (2R)-; dl-Panthenol",모발컨디셔닝제,1,Limited,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,F,F
10010000,피즈퍼즈 더마 앰플 미스트,2378,Sodium Hyaluronate,소듐하이알루로네이트,Sodium Hyaluronate,"Hyaluronic acid, sodium, salt",피부컨디셔닝제,1,Fair,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
10010000,피즈퍼즈 더마 앰플 미스트,3961,Trehalos,트레할로오스,Trehalose,"alpha-D-Glucopyranoside, alpha-D-glucopyranosyl","감미제, 보습제",1,Fair,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
10010000,피즈퍼즈 더마 앰플 미스트,2353,Sodium Citrate,소듐시트레이트,Sodium Citrate,Trisodium citrate,"pH 완충제, 금속이온봉쇄제, 착향제, pH 조절제",1,Fair,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
10010000,피즈퍼즈 더마 앰플 미스트,956,Ethylhexylglycerin,에틸헥실글리세린,Ethylhexylglycerin,"1,2-Propanediol, 3-(2-ethylhexyloxy)",피부컨디셔닝제(기타),2,Limited,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
10010000,피즈퍼즈 더마 앰플 미스트,861,Disodium EDTA,다이소듐이디티에이,Disodium EDTA,Disodium dihydrogen ethylenediaminetetraacetate,금속이온봉쇄제,1,Fair,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
10010000,피즈퍼즈 더마 앰플 미스트,601,Citric Acid,시트릭애씨드,Citric Acid,"2-Hydroxy-1,2,3-propanetricarboxylic acid","금속이온봉쇄제, 향료, pH 조절제",01-02,Good,F,N,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,T,F,F,F,F,T,F,F,F,F,F,F,F,F,F,F
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
