id,name
26001,글리세릴스테아레이트SE
26003,Stearic acid
26006,Cetyl esters
26010,Glucose glutamate
26015,Vitamin E-acetate
26021,Triethanolamine
26028,Cocamide DEA
26036,Panthenol
26045,Retinol acetate
26055,Vitamin D2
26066,Fragrance
26078,Methyl paraben
26091,Propyl paraben
26105,Diazolidinyl urea
26120,FD C yellow
26136,FD C red
27000,정제수
27001,Carrot Extract
27003,Isododecane
27006,Isohxadecane
27010,Behentrimonium chloride
27015,Methosulfate
27021,Cetearyl alcohol
27028,Carrot Oleo Resin
27036,Grape seed oil
27045,Methyl hydroxybenzoate
27055,Methyl chloroisothiazolone
27066,Tetrasodium EDTA
27078,Fragrance
28000,Deionized water
28001,Emulsifying wax
28003,Behentrimonium metho-sulfate
28006,Cetearyl alcohol
28010,Trimethysiloxyamodimethicone
28015,Octynoxyl-40
28021,Glycerine
28028,Panthenol
28036,색소
28045,Fragrance
29000,정제수
29001,Cetrimonium bromide
29003,Bacitracin methylene disalicylate
29006,PPG-12-PEG-50 Lanolin
29010,Ceteth-20
29015,Sorbitol
29021,Sodium Laureth Sulfate
29028,Methyl paraben
29036,Propyl paraben
29045,Fragrance
29055,FD C yellow
29066,FD C red
30000,무수포도당
30001,Sodium citrate
30003,Tris buffer
30006,EDTA
30010,Antioxydants
30015,Sodium bicarbonate
30021,Sucrose
30028,Antibiotics
31000,Deionized water
31001,Rose Water
31003,Dicetyldimonium Chloride
31006,Cocodimonium hydrolyzed silk amino acids
31010,Hydrolyzed wheat protein
31015,Lauryl Pyrrolidone
31021,Panthenol
31028,Methylchloroisothiazolinon
31036,Methylisothiazolinone
31045,Fragrance
31055,Polysorbate 20
31066,Propylene glycol
31078,Diazolidinyl urea
31091,Methyl paraben
31105,Propyl paraben
31120,Chamomilla Recutita
31136,Salvia sclarea(clary sage)
31153,Lavender
31171,Mentha Piperita
31190,청색1호
32000,Sodium Laureth Sulfate
32001,TEA lauryl sulfate
32003,Cocamide DEA
32006,Methylchloroisothiazolinon
32010,Formalin
32015,Keratin
32021,Parfum
32028,Sodium chloride
32036,Hydrolysed gelatin
32045,Polyvinylpyrrolidone
32055,Aqua
33000,Lauryl sodium sulfate
33001,Cocamidopropyl Betaine
33003,Benzophenone-9
33006,Cocamide DEA
33010,파라옥시안식향산메칠
33015,Polyquaternium-7
33021,Salicylic acid
33028,Propylene glycol
33036,Green tea extract
33045,Titanium oxide
33055,조합향료
33066,자색 401호
33078,적색227호
33091,정제수
34000,Lauryl sodium sulfate
34001,Cocamidopropyl Betaine
34003,Benzophenone-9
34006,파라옥시안식향산메칠
34010,Cocamide DEA
34015,Polyquaternium-7
34021,Salicylic acid
34028,Propylene glycol
34036,Green tea extract
34045,Titanium oxide
34055,조합향료
34066,녹색3호
34078,황색4호
34091,자색 401호
34105,정제수
35000,Lauryl sodium sulfate
35001,Cocamidopropyl Betaine
35003,Benzophenone-9
35006,Cocamide DEA
35010,파라옥시안식향산메칠
35015,Polyquaternium-7
35021,Salicylic acid
35028,Propylene glycol
35036,Green tea extract
35045,Titanium oxide
35055,조합향료
35066,황색4호
35078,정제수
36000,Lauryl sodium sulfate
36001,Cocamidopropyl Betaine
36003,Benzophenone-9
36006,Cocamide DEA
36010,파라옥시안식향산메칠
36015,Polyquaternium-7
36021,Salicylic acid
36028,Propylene glycol
36036,Green tea extract
36045,조합향료
36055,정제수
37000,Ethanol
37001,Polyoxyethylene hydrogenated castor oil
37003,조합향료
37006,자색 401호
37010,적색227호
37015,정제수
38000,Ethanol
38001,Polyoxyethylene hydrogenated castor oil
38003,조합향료
38006,녹색3호
38010,황색4호
38015,자색 401호
38021,정제수
39000,Ethanol
39001,Polyoxyethylene hydrogenated castor oil
39003,조합향료
39006,정제수
39010,황색4호
40000,Ethanol
40001,Polyoxyethylene hydrogenated castor oil
40003,조합향료
40006,정제수
41000,Benzalkonium chloride
